location_id,locationUUID,LocationPublicname,LocationInternalname,LocationType,LocationCountryCode,LocationCountrySubdivision,LocationCoordinatesLatitude,LocationCoordinatesLongitude,StoreNumber,LocationLifecycleStatus,LocationStoreFormat,LocationStoreDetailedFormat,LocationTimeZone,LocationAddressUUID,LocationParentStoreUUID
1,fdbb30cf-d659-4f58-ae77-017f3beaa5da,Montrose Superstore,Montrose Superstore,Store,GB,SCT,56.71102,-2.47088,2907,Trading,Superstore,Superstore,Europe/London,4bbcfcd3-97be-4c0e-b566-7566fcc63610,null
5,bd2f5955-fa7a-49f2-8af9-8ff35c2407e8,Greenford Hoover Building Superstore - Petrol Filling Station,Greenford Hoover Building Superstore - Petrol Filling Station,Petrol-Filling-Station,GB,ENG,51.53376,-0.31866,3726,Trading,null,Petrol Station,Europe/London,8d0d34a0-7399-4cc7-a43f-cf17d031c9bb,ae5eb33d-1e26-408e-9992-b3c1c69d9bce
9,6cbf9b5b-4b22-4d50-82fd-3dec195e86a7,New Oscott Extra - Fish,New Oscott Extra - Fish,Fish,GB,ENG,52.5495,-1.85813,0,Trading,null,null,Europe/London,a26d7a39-e043-4659-957a-f0ace1734184,e3825344-ecf8-481b-8322-b2bea8d3adce
13,99684dbf-d620-4c88-9e26-253d0e4a2821,Willenhall Superstore - Hot Deli,Willenhall Superstore - Hot Deli,Hot-Deli,GB,ENG,52.57823,-2.04493,0,Trading,null,null,Europe/London,8230328b-208e-437f-93bb-29a3125120f6,175540bc-18f5-4cb0-a8e1-f03632406034
17,0148ed9a-3c39-4935-ac6a-b7dd2bac5725,Kingswinford Esso Express - Petrol Filling Station,Kingswinford Esso Express - Petrol Filling Station,Petrol-Filling-Station,GB,ENG,52.50145,-2.17008,0,Trading,null,null,Europe/London,c796fc87-f04a-44f3-8e1f-4bcba683cb19,4336f644-fefb-4553-bf3f-1df7837c30c4
21,4fc7d2c6-bd60-48ba-93e5-88f763c5abbc,One Stop Rossington,One Stop Rossington,One-Stop,GB,ENG,53.4783147,-1.0777778,0,Trading,Neighbourhood Top Up,null,Europe/London,b57872e9-af2a-400f-bf49-c9389076d6a3,null
25,99f22629-89d5-45e2-ad33-e67580a03396,Daventry Superstore,Daventry Superstore,Store,GB,ENG,52.25723,-1.15925,2372,Trading,Superstore,Superstore,Europe/London,e03b5d77-44bf-4156-93f1-a9b877a3d486,null
29,6db7bd75-fc04-4937-8ea5-8bc17d34c43b,Aylesbury Extra - Pharmacy,Aylesbury Extra - Pharmacy,Pharmacy,GB,ENG,51.82128,-0.83685,0,Trading,null,null,Europe/London,04ee9415-b224-4d22-9785-31b65541a08d,6873b4d9-0059-40c0-83ca-e460808277e1
33,9143fb8e-bcde-4da4-a1ca-6f5af8fcac31,Bishop Auckland Extra - Clothing Range,Bishop Auckland Extra - Clothing Range,Clothing-Range,GB,ENG,54.64039,-1.69836,0,Trading,null,null,Europe/London,2a3a8357-343c-4ed6-96c0-a3c9b5132314,5d64b560-c910-4aeb-af8c-b2a58d6b78f6
37,ed6b46fc-6721-4310-8770-76759731ea1d,Helensburgh E Clyde Esso Express,Helensburgh E Clyde Esso Express,Store,GB,SCT,56.00228,-4.72513,5245,Trading,Express,Esso Express,Europe/London,bc009dd2-0c5f-405d-b631-5e0c4b6c7ba5,null
